!IPSummaryDump 1.3
!creator "ipsumdump -tL -r tcp2_enp132s0f0np0_2911.pcap"
!host inetlab-04
!runtime 1543576359.238223939 (Fri Nov 30 12:12:39 2018)
!data timestamp payload_len
1543522121.683446 1448
1543522121.684656 1448
1543522121.684703 0
1543522121.685867 1448
1543522121.687079 1448
1543522121.687123 0
1543522121.688290 1448
1543522121.689501 1448
1543522121.689547 0
1543522121.690712 1448
1543522121.691923 1448
1543522121.692022 0
1543522121.693135 1448
1543522121.694347 1448
1543522121.694447 0
1543522121.695557 1448
1543522121.696769 1448
1543522121.696869 0
1543522121.697979 1448
1543522121.699190 1448
1543522121.699233 0
1543522121.700402 1448
1543522121.701613 1448
1543522121.701715 0
1543522121.702824 1448
1543522121.704036 1448
1543522121.704082 0
1543522121.705246 1448
1543522121.706457 1448
1543522121.706560 0
1543522121.707669 1448
1543522121.708880 1448
1543522121.708977 0
1543522121.710092 1448
1543522121.711302 1448
1543522121.711352 0
1543522121.712513 1448
1543522121.713725 1448
1543522121.713768 0
1543522121.714936 1448
1543522121.716147 1448
1543522121.716193 0
1543522121.717358 1448
1543522121.718569 1448
1543522121.718668 0
1543522121.719781 1448
1543522121.720993 1448
1543522121.721093 0
1543522121.722203 1448
1543522121.723415 1448
1543522121.723516 0
1543522121.724626 1448
1543522121.725837 1448
1543522121.725881 0
1543522121.727049 1448
1543522121.728259 1448
1543522121.728361 0
1543522121.729470 1448
1543522121.730682 1448
1543522121.730729 0
1543522121.731893 1448
1543522121.733104 1448
1543522121.733203 0
1543522121.734315 1448
1543522121.735526 1448
1543522121.735602 0
1543522121.736738 1448
1543522121.737949 1448
1543522121.737998 0
1543522121.739160 1448
1543522121.740372 1448
1543522121.740416 0
1543522121.741582 1448
1543522121.742793 1448
1543522121.742840 0
1543522121.744005 1448
1543522121.745216 1448
1543522121.745314 0
1543522121.746428 1448
1543522121.747639 1448
1543522121.747738 0
1543522121.748849 1448
1543522121.748949 0
1543522121.750062 1448
1543522121.750161 0
1543522121.751272 1448
1543522121.752483 1448
1543522121.752527 0
1543522121.753695 1448
1543522121.754905 1448
1543522121.755006 0
