!IPSummaryDump 1.3
!creator "ipsumdump -tL -r tcp1_enp132s0f0np0-1.pcap"
!host inetlab-04
!runtime 1542919806.930580605 (Thu Nov 22 21:50:06 2018)
!data timestamp payload_len
1542724498.389997 11584
1542724498.391281 0
1542724498.392418 11584
1542724498.393702 0
1542724498.394840 47784
1542724498.395020 0
1542724498.404872 5792
1542724498.406044 47784
1542724498.406158 0
1542724498.406196 0
1542724498.416077 5792
1542724498.417248 5792
1542724498.417313 0
1542724498.418460 5792
1542724498.418529 0
1542724498.419670 11584
1542724498.419740 0
1542724498.420975 0
1542724498.422093 5792
1542724498.423304 5792
1542724498.423372 0
1542724498.424515 23168
1542724498.424526 0
1542724498.425839 0
1542724498.429360 24616
1542724498.430619 0
1542724498.434548 5792
1542724498.435718 23168
1542724498.435837 0
1542724498.437044 0
1542724498.440603 30408
1542724498.441975 0
1542724498.446926 5792
1542724498.448134 11584
1542724498.448223 0
1542724498.449454 0
1542724498.450558 28960
1542724498.451926 0
1542724498.456613 1448
1542724498.456914 28960
1542724498.458220 0
1542724498.462971 23168
1542724498.464323 0
1542724498.467816 13032
1542724498.469113 0
1542724498.470541 40544
1542724498.471924 0
1542724498.479021 23168
1542724498.480343 0
1542724498.483865 7240
1542724498.485159 0
1542724498.485377 28960
1542724498.486702 0
1542724498.491438 5792
1542724498.492644 17376
1542724498.492732 0
1542724498.494012 0
1542724498.496280 30408
1542724498.497677 0
1542724498.502639 41992
1542724498.502800 0
1542724498.511420 46336
1542724498.512777 0
1542724498.521148 5792
1542724498.522319 5792
1542724498.522428 0
1542724498.523530 13032
1542724498.523557 0
1542724498.524847 0
1542724498.526293 40544
1542724498.527672 0
1542724498.534737 18824
1542724498.536026 0
